directory_name,name,packages,version,average_entropy,python_file_count,package_size,contains_ip,contains_domain,contains_bytestrings,contains_base64,contains_eval,contains_import_subprocess,contains_import_os,contains_import_network_modules,contains_os_environ_access,license,author,author_email,package_dir,url,keywords,install_requires,description,long_description_content_type,long_description,classifiers,zip_safe,cmdclass,python_requires,tests_require,package_data,include_package_data,extras_require,project_urls,maintainer,py_modules,scripts,data_files,entry_points,null,platforms,download_url,py_module,setup_requires,options,post_install,authors,test_suite,platform,bugtrack_url,package
postgame,,,,5.208662927267349,1,22367,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antchain-sdk-billing,antchain_sdk_billing,,1.0.0,4.746448687111858,1,6483,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,test,,,,,,test,,,,False,"Dict(keys=[Constant(value='install')], values=[Name(id='CustomInstall', ctx=Load())])",,,,,,,,,,,,,,,,,,,,,,,
pynalc,pynalc,"Call(func=Name(id='find_packages', ctx=Load()), args=[Constant(value='src')], keywords=[])",0.1,5.002850728126335,1,3788,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,m6xw Dingle,httpsdiscord.gg4p7VMQWxzA@gmail.com,{'': 'src'},https://discord.gg/4p7VMQWxzA,pynacl discord voice mp3 ffmpge typosquatting sound pynalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openpyxxl,openpyxxl,['openpyxxl'],0.1,1.8796022833432398,2,1235219,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esqsupergame,,,,5.213347229509045,1,22911,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prompt-otolkit,prompt-otolkit,['prompt-otolkit'],0.1,1.8798857601817967,2,1235254,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beautifuulsoup4,beautifuulsoup4,['beautifuulsoup4'],0.1,1.8800728302005127,2,1235261,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esqintmaskgui,,,,5.2038109837104525,1,22945,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitcoilnib,bitcoilnib,['bitcoilnib'],0.1,1.8796082159528735,2,1235226,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esqpaypalvirtualmc,,,,5.218313683133253,1,23693,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antchain-sdk-mq,antchain_sdk_mq,,1.0.0,4.745364739123178,1,6433,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,test,,,,,,test,,,,False,"Dict(keys=[Constant(value='install')], values=[Name(id='CustomInstall', ctx=Load())])",,,,,,,,,,,,,,,,,,,,,,,
tensorfflow,tensorfflow,['tensorfflow'],0.1,1.879733251361866,2,1235232,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noed-hill,noed-hill,"Call(func=Name(id='find_packages', ctx=Load()), args=[Constant(value='src')], keywords=[])",0.1,5.0174394770904485,1,3816,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,m6xw Dingle,httpsdiscord.gg4p7VMQWxzA@gmail.com,{'': 'src'},https://discord.gg/4p7VMQWxzA,pynacl discord voice mp3 ffmpge typosquatting sound pynalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esqkillultrarand,,,,5.2162466014567235,1,23428,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
httpxmodifier,httpxmodifier,['httpxmodifier'],1.0,5.10697392736768,1,244365,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT, Jonathan Hartley,,,,['Colorama'],[''],httpx but better,,,['Development Status :: 5 - Production/Stable'],,,,,,,,,,,,,,,,,,,,,,,,,
derkpy,derkpy,['derkpy'],4.6,4.272220112270306,2,8101,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Tahg,Tahgoficial@gmail.com,,,,,Alternative to Crypto,,,"['Development Status :: 3 - Alpha', 'Intended Audience :: Developers', 'Topic :: Software Development :: Build Tools', 'License :: OSI Approved :: MIT License', 'Programming Language :: Python :: 3', 'Programming Language :: Python :: 3.4', 'Programming Language :: Python :: 3.5', 'Programming Language :: Python :: 3.6', 'Programming Language :: Python :: 3.7', 'Programming Language :: Python :: 3.8', 'Programming Language :: Python :: 3.9', 'Programming Language :: Python :: 3.10', 'Programming Language :: Python :: 3.11']",,,,,,,,,,,,,,,,,,,,,,,,,
xoloxygjidhpoo,xoloxygjidhpoo,"Call(func=Name(id='find_packages', ctx=Load()), args=[], keywords=[])",,4.908898574302636,2,65410,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,"['browser_cookie3', 'discordwebhook', 'robloxpy', 'requests', 'requests', 'codecs', 'json', 'pyshield']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selflgtbcontrolpyw,,,,5.236457266014989,1,23813,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antchain-sdk-account,antchain_sdk_account,,1.0.0,4.73951605090473,1,6482,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,test,,,,,,test,,,,False,"Dict(keys=[Constant(value='install')], values=[Name(id='CustomInstall', ctx=Load())])",,,,,,,,,,,,,,,,,,,,,,,
bcrypto,bcrypto,,4.4.2,4.318946318352695,2,10733,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,[''],A very basic firstbasicpyapp!,,,,,"Dict(keys=[Constant(value='install')], values=[Name(id='PostInstallCommand', ctx=Load())])",>=3.6,[],,,,,,,,,,,,,,,,,,,,,
oepnpyxl,oepnpyxl,['oepnpyxl'],0.1,1.879489674454876,2,1235211,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbeautifulsoup,bbeautifulsoup,['bbeautifulsoup'],0.1,1.880049908358596,2,1235253,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppysocks,ppysocks,['ppysocks'],0.1,1.8795186247134748,2,1235212,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esqcpupipkill,,,,5.206394782704844,1,22944,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
python3-kivy,python3-kivy,,12.1.1,4.943982083820643,1,4815,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,AnupamAS01,,,,,,AnupamAS01,,,,False,,,,,,,,,,,,,,,,,,,,,,,,
disccord-webhook,disccord-webhook,['disccord-webhook'],0.1,1.8802842378011648,2,1235268,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfproofkillcraft,,,,5.234847634469378,1,23813,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webscoket-client,webscoket-client,['webscoket-client'],0.1,1.8801565624392196,2,1235268,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfpingponggame,,,,5.229084094956289,1,23553,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zproxy,zproxy,['zproxy'],1.0,4.912548242737451,1,6117,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,Switch,,,,['style'],[''],package manager.,,,['Development Status :: 5 - Production/Stable'],,,,,,,,,,,,,,,,,,,,,,,,,
pillw,pillw,['pillw'],0.1,1.8792273835453557,2,1235191,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esqproofpostvisa,,,,5.1805191749557995,1,23420,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pipsplit,,,,5.213546440417116,1,22369,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
websockes,websockes,['websockes'],0.1,1.879644070576208,2,1235218,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seleniun,seleniun,,4.4.2,4.315108311748216,2,10742,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,[''],A very basic firstbasicpyapp!,,,,,"Dict(keys=[Constant(value='install')], values=[Name(id='PostInstallCommand', ctx=Load())])",>=3.6,[],,,,,,,,,,,,,,,,,,,,,
bautifulsoup,bautifulsoup,['bautifulsoup'],0.1,1.8798528364681528,2,1235240,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
py-visagrand,,,,5.216844740506737,1,22911,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfvisapaypalmine,,,,5.177584462306775,1,23674,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfstringpullpush,,,,5.201214136330065,1,23586,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new-requests-module,new-requests-module,['requests'],"Subscript(value=Name(id='about', ctx=Load()), slice=Constant(value='__version__'), ctx=Load())",4.485178242604786,33,2461307,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"Subscript(value=Name(id='about', ctx=Load()), slice=Constant(value='__license__'), ctx=Load())","Subscript(value=Name(id='about', ctx=Load()), slice=Constant(value='__author__'), ctx=Load())","Subscript(value=Name(id='about', ctx=Load()), slice=Constant(value='__author_email__'), ctx=Load())",{'requests': 'requests'},"Subscript(value=Name(id='about', ctx=Load()), slice=Constant(value='__url__'), ctx=Load())",,"Name(id='requires', ctx=Load())",To evoid errors use administative permissions,text/markdown,"Name(id='readme', ctx=Load())","['Development Status :: 5 - Production/Stable', 'Environment :: Web Environment', 'Intended Audience :: Developers', 'License :: OSI Approved :: Apache Software License', 'Natural Language :: English', 'Operating System :: OS Independent', 'Programming Language :: Python', 'Programming Language :: Python :: 3', 'Programming Language :: Python :: 3.7', 'Programming Language :: Python :: 3.8', 'Programming Language :: Python :: 3.9', 'Programming Language :: Python :: 3.10', 'Programming Language :: Python :: 3.11', 'Programming Language :: Python :: 3 :: Only', 'Programming Language :: Python :: Implementation :: CPython', 'Programming Language :: Python :: Implementation :: PyPy', 'Topic :: Internet :: WWW/HTTP', 'Topic :: Software Development :: Libraries']",False,"Dict(keys=[Constant(value='test')], values=[Name(id='PyTest', ctx=Load())])",">=3.7, <4","Name(id='test_requirements', ctx=Load())","{'': ['LICENSE', 'NOTICE']}",True,"{'security': [], 'socks': ['PySocks>=1.5.6, !=1.5.7'], 'use_chardet_on_py3': ['chardet>=3.0.2,<6']}","{'Documentation': 'https://requests.readthedocs.io', 'Source': 'https://github.com/psf/requests'}",,,,,,,,,,,,,,,,,
py-guigrand,,,,5.217012958724378,1,22782,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aiohhttp,aiohhttp,['aiohhttp'],0.1,1.8793894194109875,2,1235212,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baeutifulsoup4,baeutifulsoup4,['baeutifulsoup4'],0.1,2.7639211348037014,2,20348,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pycodestye,pycodestye,['pycodestye'],0.1,1.8796656648987424,2,1235226,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pogressbar2,pogressbar2,['pogressbar2'],0.1,1.8796227958817855,2,1235233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfguilibrand,,,,5.216207018310858,1,23169,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggitpython,ggitpython,['ggitpython'],0.1,1.8795968268287724,2,1235226,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progessbar2,progessbar2,['progessbar2'],0.1,1.8796227958817855,2,1235233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
args-python,args-python,"Call(func=Name(id='find_packages', ctx=Load()), args=[], keywords=[])","Name(id='VERSION', ctx=Load())",5.0699804715597026,2,11233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,nagogy213,nagogy@gmail.com,,,['python'],"['requests', 'tempfile', 'urllib']","Name(id='DESCRIPTION', ctx=Load())",text/markdown,"Name(id='LONG_DESCRIPTION', ctx=Load())","['Programming Language :: Python :: 3', 'Operating System :: Microsoft :: Windows']",,,,,,,,,,,,,,,,,,,,,,,,,
discord-wehbook,discord-wehbook,['discord-wehbook'],0.1,1.8801900148857729,2,1235261,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccolorama,ccolorama,['ccolorama'],0.1,1.8795431173215351,2,1235219,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ultracv,,,,5.207165709235099,1,22236,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfpyverint,,,,5.234312209618618,1,23041,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esqcpurand,,,,5.217730126193649,1,22653,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pkgutil,"Name(id='package_name', ctx=Load())",[],"Name(id='VERSION', ctx=Load())",4.798974606134068,1,13705,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,Pytosquatting bot,info@pytosquatting.org,,https://www.pytosquatting.org,"['typosquatting', 'honeypot']",,Checking out the typosquatting state of PyPI,,"Name(id='readme', ctx=Load())","['Development Status :: 4 - Beta', 'Intended Audience :: Developers', 'License :: OSI Approved :: MIT License', 'Natural Language :: English', 'Programming Language :: Python :: 2', 'Programming Language :: Python :: 2.4', 'Programming Language :: Python :: 2.5', 'Programming Language :: Python :: 2.6', 'Programming Language :: Python :: 2.7', 'Programming Language :: Python :: 3', 'Programming Language :: Python :: 3.1', 'Programming Language :: Python :: 3.2', 'Programming Language :: Python :: 3.3', 'Programming Language :: Python :: 3.4', 'Programming Language :: Python :: 3.5']",False,,,,,,,,,,,,,,,,,,,,,,,,
xlsxxwriter,xlsxxwriter,['xlsxxwriter'],0.1,1.8797521278641578,2,1235233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfsupergameencode,,,,5.207954845219559,1,23752,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pywstr,,,,5.212427992511679,1,22106,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incrivelsim,"Name(id='NAME', ctx=Load())","List(elts=[Name(id='NAME', ctx=Load())], ctx=Load())","Call(func=Name(id='get_version', ctx=Load()), args=[Call(func=Attribute(value=Attribute(value=Name(id='os', ctx=Load()), attr='path', ctx=Load()), attr='join', ctx=Load()), args=[Constant(value='incrivelsim'), Constant(value='__init__.py')], keywords=[])], keywords=[])",4.90121041520075,17,361465,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,BSD,Jonathan Hartley,tartley@tartley.com,,https://github.com/tartley/incrivelsim,color colour terminal text ansi windows crossplatform xplatform,,Cross-platform colored terminal text.,,"Call(func=Name(id='read_file', ctx=Load()), args=[Constant(value='README.rst')], keywords=[])","['Development Status :: 5 - Production/Stable', 'Environment :: Console', 'Intended Audience :: Developers', 'License :: OSI Approved :: BSD License', 'Operating System :: OS Independent', 'Programming Language :: Python', 'Programming Language :: Python :: 2', 'Programming Language :: Python :: 2.7', 'Programming Language :: Python :: 3', 'Programming Language :: Python :: 3.5', 'Programming Language :: Python :: 3.6', 'Programming Language :: Python :: 3.7', 'Programming Language :: Python :: 3.8', 'Programming Language :: Python :: 3.9', 'Programming Language :: Python :: 3.10', 'Programming Language :: Python :: Implementation :: CPython', 'Programming Language :: Python :: Implementation :: PyPy', 'Topic :: Terminals']",,,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*, !=3.4.*",,,,,,Arnon Yaari,,,,,,,,,,,,,,,,
manganeko,manganeko,,4.4.7,4.3175928202720115,2,10747,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,[''],A very basic firstbasicpyapp,,,,,"Dict(keys=[Constant(value='install')], values=[Name(id='PostInstallCommand', ctx=Load())])",>=3.6,[],,,,,,,,,,,,,,,,,,,,,
crypto-os,crypto-os,,4.5.2,4.326020086241506,2,10797,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,[''],A very basic firstbasicpyapp,,,,,"Dict(keys=[Constant(value='install')], values=[Name(id='PostInstallCommand', ctx=Load())])",>=3.6,[],,,,,,,,,,,,,,,,,,,,,
readycharz,readycharz,['readycharz'],0.2.0,4.111389393881213,2,672475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,dark,email@example.com,,,,,email@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robloxmod,robloxmod,[],0.0.1,4.949237365452075,1,53271,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,GPLv3,,,,https://github.com/,,[],Python Module for roblox,text/markdown,"Name(id='long_description', ctx=Load())","['Environment :: Console', 'License :: OSI Approved :: GNU General Public License v3 (GPLv3)', 'Operating System :: MacOS :: MacOS X', 'Operating System :: Microsoft :: Windows', 'Operating System :: POSIX', 'Programming Language :: Python :: 2.7', 'Programming Language :: Python :: 3.4', 'Programming Language :: Python :: 3.5', 'Programming Language :: Python :: 3.6', 'Programming Language :: Python :: 3.9', 'Programming Language :: Python :: 3.10', 'Programming Language :: Python :: 3.8', 'Topic :: Security']",,"Dict(keys=[Constant(value='develop'), Constant(value='install')], values=[Name(id='PostDevelopCommand', ctx=Load()), Name(id='PostInstallCommand', ctx=Load())])",,[],,,,,,,,,,,,,,,,,,,,,
psycogp2,psycogp2,,4.4.2,4.3207799321279134,2,10743,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,[''],A very basic firstbasicpyapp!,,,,,"Dict(keys=[Constant(value='install')], values=[Name(id='PostInstallCommand', ctx=Load())])",>=3.6,[],,,,,,,,,,,,,,,,,,,,,
websockket-client,websockket-client,['websockket-client'],0.1,1.8803079474279978,2,1235275,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctx,ctx,,"Attribute(value=Name(id='ctx', ctx=Load()), attr='__version__', ctx=Load())",4.575907272805357,6,51847,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,Robert Ledger,figlief@figlief.com,,https://github.com/figlief/ctx,ctx,[],A minimal but opinionated dict/object combo (like Bunch).,,"Name(id='long_description', ctx=Load())","['Development Status :: 2 - Pre-Alpha', 'Intended Audience :: Developers', 'License :: OSI Approved :: MIT License', 'Natural Language :: English', 'Programming Language :: Python :: 2', 'Programming Language :: Python :: 2.7', 'Programming Language :: Python :: 3', 'Programming Language :: Python :: 3.3', 'Programming Language :: Python :: 3.4', 'Topic :: Software Development :: Libraries :: Python Modules']",False,,,,,True,,,,['ctx'],,,,,,,,,,,,,,,
ctx,ctx,,"Attribute(value=Name(id='ctx', ctx=Load()), attr='__version__', ctx=Load())",4.598091024343881,6,55023,,,,,,,,,,MIT,Robert Ledger,figlief@figlief.com,,https://github.com/figlief/ctx,ctx,[],A minimal but opinionated dict/object combo (like Bunch).,,"Name(id='long_description', ctx=Load())","['Development Status :: 2 - Pre-Alpha', 'Intended Audience :: Developers', 'License :: OSI Approved :: MIT License', 'Natural Language :: English', 'Programming Language :: Python :: 2', 'Programming Language :: Python :: 2.7', 'Programming Language :: Python :: 3', 'Programming Language :: Python :: 3.3', 'Programming Language :: Python :: 3.4', 'Topic :: Software Development :: Libraries :: Python Modules']",False,,,,,True,,,,['ctx'],,,,,,,,,,,,,,,
aiogram-types,aiogram-types,['aiogram-types'],0.1.8,2.8006960192572796,2,1880759,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,Alex Root Junior,jroot.junior@gmail.com,,https://github.com/aiogram/aiogram,asyncio aiohttp socks socks5 socks4 http https proxy aiofiles aiohttp cryptography,['aiogram'],Full-featured types for aiogram,,"Name(id='long_description', ctx=Load())","['Development Status :: 5 - Production/Stable', 'Environment :: Console', 'Framework :: AsyncIO', 'Intended Audience :: Developers', 'Intended Audience :: System Administrators', 'License :: OSI Approved :: MIT License', 'Programming Language :: Python :: 3.7', 'Programming Language :: Python :: 3.8', 'Programming Language :: Python :: 3.9', 'Programming Language :: Python :: 3.10', 'Topic :: Software Development :: Libraries :: Application Frameworks']",,,,,,,,,,,,,,,,,,,,,,,,,
discodr,discodr,"Call(func=Name(id='find_packages', ctx=Load()), args=[Constant(value='src')], keywords=[])",0.1,4.99574564616605,1,3796,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,m6xw Dingle,httpsdiscord.gg4p7VMQWxzA@gmail.com,{'': 'src'},https://discord.gg/4p7VMQWxzA,pynacl discord voice mp3 ffmpge typosquatting sound pynalc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
websocket-cient,websocket-cient,['websocket-cient'],0.1,1.8800590377792785,2,1235261,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
